# critic_loss generator_loss wasserstein_gap gradient_penalty score_real score_fake real_increment_std fake_increment_std increment_std_rel_error checkpoint_selection_score
1.578314587473869379e-01 4.374632798135280609e-02 3.207652643322944468e-03 1.610391130670905252e-02 -4.021014608442783494e-02 -4.341779872775077681e-02 3.546358160674571713e-02 3.939913846552371701e-02 1.109746021230529622e-01 1.302861660730849636e-01
1.342295438051223644e-01 4.284543916583061218e-02 2.317998558282852173e-03 1.365475431084632943e-02 -4.116778932511806766e-02 -4.348578788340091983e-02 3.546359501779079715e-02 3.974453993141650876e-02 1.207137886431819268e-01 1.366865415123111049e-01
1.132081009447574588e-01 4.585546068847179413e-02 1.575403660535812421e-03 1.147835049778223038e-02 -4.206485413014889041e-02 -4.364025779068470001e-02 3.546384945511817793e-02 4.021035209298133573e-02 1.338405929039465092e-01 1.468943470622645631e-01
9.595225304365158359e-02 4.385901615023612976e-02 3.203615546226501248e-04 9.627261292189359318e-03 -4.290371984243392806e-02 -4.322408139705657959e-02 3.546334914863109866e-02 4.047245681285858293e-02 1.412474508003311591e-01 1.511950736471431578e-01
8.128238767385483066e-02 4.175220429897308350e-02 -7.653933018445969062e-04 8.051699353381991039e-03 -4.368541352450847765e-02 -4.292002022266387662e-02 3.546344749629497251e-02 4.065861888229847093e-02 1.464936928762994028e-01 1.553107855315259966e-01
6.809658594429493506e-02 4.344005323946475983e-02 -9.727224707603455024e-04 6.712386524304747928e-03 -4.442011415958404402e-02 -4.344739168882370134e-02 3.546345420181751251e-02 4.101208746433258195e-02 1.564605983044437820e-01 1.641457072995088917e-01
5.769091546535491666e-02 4.232608899474143982e-02 -1.945805549621582075e-03 5.574511038139462818e-03 -4.509903043508529941e-02 -4.315322488546371321e-02 3.546322956681251248e-02 4.135307855904102325e-02 1.660832660760912238e-01 1.736035826638522850e-01
4.950007759034633775e-02 4.400291666388511658e-02 -3.327663987874984741e-03 4.617241350933909763e-03 -4.572609476745128493e-02 -4.239843077957630019e-02 3.546339794993400713e-02 4.169560223817825317e-02 1.757362421070569614e-01 1.836811474458658611e-01
4.193027056753635684e-02 4.307636991143226624e-02 -3.794473782181739981e-03 3.813579655252397147e-03 -4.630642980337142806e-02 -4.251195602118969241e-02 3.546320572495460788e-02 4.201835319399833957e-02 1.848436241128135760e-01 1.924516775502476962e-01
3.726086281239986142e-02 3.894786722958087921e-02 -5.619594082236290151e-03 3.164126956835389311e-03 -4.683780148625373702e-02 -4.121820740401745120e-02 3.546353355050087253e-02 4.240643382072448869e-02 1.957757610403090265e-01 2.045594820793806834e-01
